name,portrait,text
경비대장,349244c096cf48d98ecd7b87c246cedd,그래. 어제는 별 일 없었지?
player1,,그렇습니다.
경비대장,349244c096cf48d98ecd7b87c246cedd,포로 놈들이 욕은 안하던가?
player1,,...했습니다.
경비대장,349244c096cf48d98ecd7b87c246cedd,그래서 어떻게 했나?
player1,,아무 반응도 안했습니다.
경비대장,349244c096cf48d98ecd7b87c246cedd,좋아. 그런 것들에게 반응해줄 필요가 없지.
player1,,...
경비대장,349244c096cf48d98ecd7b87c246cedd,포로 놈들 중에 죽기 직전인 놈이 하나 있어.
경비대장,349244c096cf48d98ecd7b87c246cedd,"살아 있는지 계속 확인하고, 죽으면 바로 보고해."
player1,,알겠습니다.
경비대장,349244c096cf48d98ecd7b87c246cedd,그래. 가 봐.
