name,portrait,text
player1,,이봐.
알렉사,a66704c7c10349938dd06480ac77035f,...
player1,,...부탁한 마나를 가져왔는데.
알렉사,a66704c7c10349938dd06480ac77035f,음? 어제 그 녀석인가.
알렉사,a66704c7c10349938dd06480ac77035f,제법 쓸모가 있는 놈이었군. 순간이동 마법진을 완성할 수 있겠어.
player1,,여기서 탈출할 수 있는 건가?
알렉사,a66704c7c10349938dd06480ac77035f,그래. 마나를 모은 공을 높이 사서 너도 끼워주도록 하지. 지금 바로 시작할테니 기다려라.
player1,,지금 바로?
알렉사,a66704c7c10349938dd06480ac77035f,그래. 왜 그러지?
player1,,내 친구가 여기 있어...
player1,,나 혼자 가버리면 친구가 곤란해질거야.
알렉사,a66704c7c10349938dd06480ac77035f,지금 우리가 사라지면 네가 곤란해질텐데.
player1,,그래도 별 수 없어...
알렉사,a66704c7c10349938dd06480ac77035f,흥. 마음대로 해라. 한 명 있던지 없던지 내 알 바 아니니까.
player1,,...
