name,portrait,text
player1,,"깨어났다고 들었는데, 사실이었군요."
콘,1414c2d7d07b408199b12bade7cf51cd,당신이군.
콘,1414c2d7d07b408199b12bade7cf51cd,"우선 고맙다. 살린건 체리지만, 당신이 없었다면 불가능했겠지."
player1,,...
player1,,쓸데없는 대화를 할 생각은 없습니다.
콘,1414c2d7d07b408199b12bade7cf51cd,까칠하군. 하긴 대화하는 걸 들키면 곤란하겠지. 그럼 듣기만 하게나.
player1,,...
콘,1414c2d7d07b408199b12bade7cf51cd,내 소개부터 하지. 난 콘이라고 하네. 저항군의 상급 기사다.
콘,1414c2d7d07b408199b12bade7cf51cd,"지난 전투에서 죽을 뻔했지만, 덕분에 살아났지."
콘,1414c2d7d07b408199b12bade7cf51cd,사실 그건 전투도 아니었어. 일방적으로 습격당했지.
콘,1414c2d7d07b408199b12bade7cf51cd,"군단 녀석들이 숨어있다는 정보를 이용해서 기습을 하려고 했지만, 잘못된 정보였어."
콘,1414c2d7d07b408199b12bade7cf51cd,예상 지점보다 가까운 곳에 군단의 병사들이 매복해 있었다.
콘,1414c2d7d07b408199b12bade7cf51cd,"기습 전략과 압도적인 무력, 아카이럼과 데몬의 합작일거다."
콘,1414c2d7d07b408199b12bade7cf51cd,"게다가 판토치오들이, 그러니까 정신 지배를 당한 병사들이 레이븐 대장님을 찔렀다..."
콘,1414c2d7d07b408199b12bade7cf51cd,동시에 알렉사도 공격을 받아서 내가 몸을 던져 지켰지. 덕분에 죽을 뻔했지만.
player1,,알렉사는 누구죠?
콘,1414c2d7d07b408199b12bade7cf51cd,알렉사는 저항군의 상급 마법사다. 알렉사가 가진 마법 재능은 프리드님도 인정하실 정도로 훌륭한 마법사야.
콘,1414c2d7d07b408199b12bade7cf51cd,"좀 재수없는 녀석이지만, 절대 잃어서는 안돼. 그래서 죽음을 각오하고 내가 몸을 던져 지킨거고."
콘,1414c2d7d07b408199b12bade7cf51cd,지금은 마나를 모으는 중일거다. 쓰러지기 전에 녀석이 마나를 뺏기는 걸 봤거든.
콘,1414c2d7d07b408199b12bade7cf51cd,내일 다시 감옥에 오면 파란 머리에 재수없게 생긴 녀석을 찾아봐라.
콘,1414c2d7d07b408199b12bade7cf51cd,탈출하려면 알렉사 그 녀석이 희망이야.
콘,1414c2d7d07b408199b12bade7cf51cd,자존심이 강해서 말은 안하겠지만 도움이 필요할거다.
콘,1414c2d7d07b408199b12bade7cf51cd,"염치 없지만, 녀석을 도와주게."
,,(콘이 기침을 하며 감옥 입구에서 물러났다.)
player1,,...
콘,1414c2d7d07b408199b12bade7cf51cd,혼자만 말하려니 심심하군. 다시 한 번 날 구해준 것 고맙다. 난 좀 더 쉬어야겠어.
player1,,(이제 자리를 뜨는 게 좋겠다.)
