name,portrait,text
류,e8523a4ce3bd43c1b9b688cee13a4f71,너무해. 5분만 일찍 오지.
player1,,너도 어제 시간 맞춰 왔잖아. 별 일 없었어?
류,e8523a4ce3bd43c1b9b688cee13a4f71,딱히? 늘 그렇지 뭐. 근데 그 녀석 깨어났더라.
player1,,누구?
류,e8523a4ce3bd43c1b9b688cee13a4f71,쓰러져있던 근육 포로. 죽기 직전이었던 것 같은데 어떻게 의식이 돌아왔더라고. 엄청난 사람이야.
player1,,...
류,e8523a4ce3bd43c1b9b688cee13a4f71,"뭐, 우리는 신경쓸 필요 없으니까. 그보다 너.."
player1,,왜?
류,e8523a4ce3bd43c1b9b688cee13a4f71,포로들이랑 대화하는 거 아니지?
player1,,무슨 소리야?
류,e8523a4ce3bd43c1b9b688cee13a4f71,어제 교대하러 왔을 때 대화하는 소리가 들린 것 같아서.
player1,,...심심해서 혼잣말 한 거겠지.
류,e8523a4ce3bd43c1b9b688cee13a4f71,그런가? 아무튼 이상한 행동하지마. 오해받으면 너만 곤란해져.
player1,,알았어.
류,e8523a4ce3bd43c1b9b688cee13a4f71,그래. 난 간다 수고해라.
player1,,그래..
