name,portrait,text
류,e8523a4ce3bd43c1b9b688cee13a4f71,너무해. 5분만 일찍 오지.
player1,,너도 어제 시간 맞춰 왔잖아. 별 일 없었어?
류,e8523a4ce3bd43c1b9b688cee13a4f71,딱히? 늘 그렇지 뭐. 근데 그 녀석 죽었다더라.
player1,,누구?
류,e8523a4ce3bd43c1b9b688cee13a4f71,쓰러져있던 근육질 포로. 부상이 심했다고 하더라고.
player1,,...
류,e8523a4ce3bd43c1b9b688cee13a4f71,치료받았으면 살 수 있었을거라고 하던데.
player1,,...
류,e8523a4ce3bd43c1b9b688cee13a4f71,반응이 영 시원찮구만. 신경쓰지마. 어쩔 수 없었잖아.
player1,,맞아..
player1,,우리 잘못이 아니야...
류,e8523a4ce3bd43c1b9b688cee13a4f71,"우리가 어떻게 도울 수도 없고, 도와서도 안 돼. 그랬다간 다같이 죽는 거라고."
player1,,그래. 저항하지 말고 우리처럼 기회를 노렸으면 잡힐 일도 없었잖아.
류,e8523a4ce3bd43c1b9b688cee13a4f71,그러니까 말이야. 기다리면 잘나신 영웅들이 해결해 줄 수도 있는데 말이야. 
류,e8523a4ce3bd43c1b9b688cee13a4f71,으..추워. 난 간다 수고해라.
player1,,그래..
