name,portrait,text
류,e8523a4ce3bd43c1b9b688cee13a4f71,여긴 들어오면 안되는 곳이잖아..!
류,e8523a4ce3bd43c1b9b688cee13a4f71,"잠깐, 세상에...저게 뭐야...?"
,,(알렉사는 엄청난 에너지를 모은 듯 했다.)
player1,,설명은 나중에 한다니까..
알렉사,a66704c7c10349938dd06480ac77035f,...
알렉사,a66704c7c10349938dd06480ac77035f,그 짐덩이는 뭐지?
player1,,그...내 친구인데 같이 돌아갈 수 있을까?
알렉사,a66704c7c10349938dd06480ac77035f,한 명 더 늘어난다고 문제될 건 없다만..
류,e8523a4ce3bd43c1b9b688cee13a4f71,지금 나보고 짐덩이라고 한거야? 넌 그걸 수긍한거고?
player1,,(미안하긴 하지만 말싸움할 시간은 없다.)
player1,,부탁할게.
알렉사,a66704c7c10349938dd06480ac77035f,...
알렉사,a66704c7c10349938dd06480ac77035f,콘쪽도 일을 마친 것 같으니 바로 시작하지.
player1,,"(드디어, 드디어 탈출하는 거야..)"
